site,sampledate,sample_time,ChamberFlux,co2_ppm,air_co2,ch4,TransferVelocity,ChamberFluxsd,pH
AllequashLower,2012-05-11,15:00:00,0.41,854.24,1330,43.98,10.53635406,0.03,7.65
AllequashLower,2012-05-25,13:45:00,0.2,1417.46,1487.899586,80.42,4.8272298,0.0065,7.61
AllequashLower,2012-05-29,14:30:00,0.18,1126.62,1399.245784,92.44,4.650886255,0.01,7.51
AllequashLower,2012-06-04,13:45:00,0.19,713.43,1345.774103,40.07,5.535109965,0.01,7.57
AllequashLower,2012-06-11,13:15:00,0.24,1596.15,2280.219499,47.68,3.852442358,0.02,7.36
AllequashLower,2012-06-27,16:00:00,0.35,875.18,2730,31.1,4.473344788,0.01,7.4
AllequashLower,2012-07-02,13:30:00,0.38,745.26,2330,42.55,6.238872617,0.02,7.49
AllequashMiddle,2012-05-11,13:30:00,0.06,1342.19,1790,140.95,1.098714132,0.02,7.43
AllequashMiddle,2012-05-29,13:00:00,0.62,1562.81,1883.294433,149.62,9.610867036,0.02,7.31
AllequashMiddle,2012-06-04,12:00:00,0.3,1721.62,2131.299558,183.1,3.997117143,0.1,7.27
AllequashMiddle,2012-06-11,12:00:00,0.24,1712.45,2217.871479,138.55,3.310768829,0.21,7.33
AllequashMiddle,2012-06-21,13:00:00,1.88,5633.31,6550,90.76,7.771531666,0.04,6.83
AllequashMiddle,2012-06-21,14:00:00,1.86,2210.36,6480,99.82,7.89675704,0.34,6.84
AllequashMiddle,2012-06-21,15:00:00,1.41,5483.58,6400,89.27,6.167481805,0.08,6.85
AllequashMiddle,2012-06-21,17:00:00,1.32,2985.42,6280,57.03,5.94817686,0.08,6.85
AllequashMiddle,2012-06-21,22:00:00,0.85,4517.03,5900,105.8,3.792181378,0.02,6.86
AllequashMiddle,2012-07-02,12:15:00,0.11,1688.33,3110,118.13,1.112503905,0.01,7.29
AllequashMiddle,2012-06-18,12:45:00,0.54,2800.24,2978.812772,109.25,5.099999318,0.07,7.1
AllequashMiddle,2012-06-21,10:00:00,2.03,5107.69,6810,105.39,7.598895581,0.04,6.85
AllequashMiddle,2012-06-21,11:00:00,1.58,5485.8,6770,107.33,6.067427802,0.43,6.89
AllequashMiddle,2012-06-21,12:00:00,1.66,6176.92,6640,101.52,6.616808062,0.07,6.8
AllequashMiddle,2012-06-21,16:00:00,1.22,5096.17,6360,85.47,5.416714556,0.08,6.85
AllequashMiddle,2012-06-21,18:00:00,1.34,5426.39,6280,92.68,6.040103132,0.17,6.86
AllequashMiddle,2012-06-21,19:00:00,0.9,5596.31,6200,96.17,4.037316018,0.1,6.85
AllequashMiddle,2012-06-21,20:00:00,1.08,5262.52,6070,88.48,4.910966645,0.17,6.85
AllequashMiddle,2012-06-21,21:00:00,1.12,5358.47,5920,97.37,5.094109937,0.09,6.86
AllequashMiddle,2012-06-21,23:00:00,1.02,5370.8,5900,101.67,4.471817469,0.2,6.86
AllequashMiddle,2012-06-22,0:00:00,0.83,5574.81,5910,106.95,3.575899832,0.02,6.85
AllequashMiddle,2012-06-22,1:00:00,0.97,4615.66,5770,121.15,4.202737395,0.05,6.86
AllequashMiddle,2012-06-22,2:00:00,0.71,4949.18,5720,115.4,3.073380162,0.11,6.86
AllequashMiddle,2012-06-22,3:00:00,0.63,5236.68,5590,122.72,2.724506318,0.11,6.87
AllequashMiddle,2012-06-22,4:00:00,0.97,5452.12,5480,133.9,4.22225581,0.21,6.87
AllequashMiddle,2012-06-22,5:00:00,0.75,4937.71,5350,126.33,3.324531162,0.09,6.88
AllequashMiddle,2012-06-22,6:00:00,0.67,4342.86,5280,149.67,2.968841099,0.03,6.89
AllequashMiddle,2012-06-22,7:00:00,0.73,4802.27,5160,134.29,3.275796047,0.06,6.91
AllequashMiddle,2012-06-22,8:00:00,0.59,4773.92,5090,137.82,2.731110986,0.12,6.93
AllequashMiddle,2012-06-22,9:00:00,0.94,4433.78,5060,130.92,4.461719372,0.06,6.95
AllequashMiddle,2012-06-22,10:00:00,0.82,4706.27,5120,147.75,3.948179877,0.03,6.96
MannCreek,2012-05-11,11:45:00,0.35,2002.76,2380,43.55,4.072954992,0.02,6.97
MannCreek,2012-05-29,9:30:00,0.12,3681.75,2781.788689,85.31,1.244748662,0.0046,6.67
MannCreek,2012-06-04,9:30:00,0.34,2692.81,2765.121969,29.77,3.371244649,0.02,6.6
MannCreek,2012-06-11,9:45:00,0.08,8388.4,4096.446312,911.88,0.529661646,0.09,6.76
MannCreek,2012-06-27,9:45:00,0.84,5635.36,7610,156.86,2.881223993,0.18,6.3
MannCreek,2012-07-02,9:30:00,1.46,5148.5,7380,142.36,5.642839368,0.24,6.17
NorthCreek,2012-05-12,11:30:00,0.38,2797.91,2160,56.51,4.868964729,0.01,7.29
NorthCreek,2012-05-25,15:45:00,-0.04,417.68,40.09780069,38.79,3.299040048,0.0085,8.41
NorthCreek,2012-06-04,16:15:00,-0.05,236.83,136.0163224,24.59,5.620515445,0.0075,8.58
NorthCreek,2012-06-11,15:15:00,0.08,419.68,833.2645342,29.83,6.296669794,0.01,7.87
NorthCreek,2012-06-18,16:30:00,0.39,811.03,1199.071561,32.86,13.4534077,0.06,7.54
NorthCreek,2012-06-27,17:45:00,0.11,1303.67,2470,24.11,1.674860729,0.09,7.35
NorthCreek,2012-07-02,15:30:00,0.11,442.42,1480,21.79,3.405715795,0.04,7.64
StevensonCreek,2012-05-11,16:30:00,0.04,19697.96,2370,51.65,0.542702609,0.02,7.36
StevensonCreek,2012-05-29,15:30:00,0.47,4161.27,3853.228548,67.02,3.299134673,0.03,7.04
StevensonCreek,2012-06-04,15:00:00,0.2,2010.66,2664.304686,71.48,2.362258888,0.0055,7.24
StevensonCreek,2012-06-18,15:15:00,0.53,3289.67,3866.643167,66.02,3.969924183,0.01,7.09
StevensonCreek,2012-06-27,16:45:00,0.45,3720.5,3190,35.65,4.689733411,0.01,7.14
StevensonCreek,2012-07-02,14:45:00,0.34,2615.36,4940,41.46,2.348696227,0.09,7.12
StevensonCreek,2012-05-25,15:00:00,0.87,4086.41,5999.333706,36.75,3.728839488,0.0094,6.9
StevensonCreek,2012-06-11,14:15:00,0.31,2822.28,2945.54337,72.02,3.70064902,0.07,7.31
TroutRiver,2012-05-12,13:30:00,-0.07,269.02,,1.99,,0.05,8.7
TroutRiver,2012-05-25,10:45:00,-0.02,423.92,288.0213251,3.65,4.728505469,0.0063,8.24
TroutRiver,2012-05-29,10:45:00,-0.02,308.7,272.8621049,4.41,4.833660767,0.0013,8.2
TroutRiver,2012-06-04,10:45:00,-0.09,282.43,281.856965,3.63,18.8391648,0.03,8.24
TroutRiver,2012-06-11,10:45:00,0.03,344.92,364.5527664,6.38,-23.90556395,0.0067,8.15
TroutRiver,2012-06-27,13:00:00,-0.1,322.6,320,12.66,36.87704276,0.02,6.33
TroutRiver,2012-07-02,10:45:00,-0.02,233.76,420,11.2,-28.86969725,0.04,8.3
TroutRiver,2012-06-18,11:00:00,-6.17E-03,390.21,331.0003258,5.23,2.2317045,0.0037,8.16
